MARKE,KOMERCINIS_PAV,ELEKTRINE_TP,APSKRITIS,PIRM_REG_METAI_LT
NISSAN,NISSAN LEAF 62KWH,Y,Šiaulių,2024-05
VOLVO,EX30,Y,Vilniaus,2024-01
TESLA,MODEL 3,Y,Kauno,2024-02
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
BMW,IX XDRIVE40,Y,Marijampolės,2024-04
TESLA,MODEL 3,Y,Šiaulių,2024-03
VOLKSWAGEN. VW,ID.3 PURE 110 KW,Y,Vilniaus,2024-03
AUDI,Q8 50 E-TRON,Y,Klaipėdos,2024-03
AUDI,E-TRON 55,Y,Kauno,2024-03
EKOMOTO,TIANWEI,Y,Utenos,2024-02
SUNRA,LEO,Y,Klaipėdos,2024-03
BMW i,I3S,Y,Utenos,2024-04
NISSAN,NISSAN LEAF 62kWh,Y,Vilniaus,2024-01
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Klaipėdos,2024-04
GOUPIL,G6,Y,Kauno,2024-03
TESLA,MODEL 3,Y,Klaipėdos,2024-05
TESLA,MODEL 3,Y,Kauno,2024-06
BMW,IX XDRIVE40,Y,Vilniaus,2024-06
PEUGEOT,VIVACITY,Y,Klaipėdos,2024-03
RENAULT,MEGANE E-TECH ELECTRIC,Y,Vilniaus,2024-03
VOLVO,EX30,Y,Vilniaus,2024-05
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
TESLA,MODEL S,Y,Kauno,2024-06
RENAULT,ZOE,Y,Šiaulių,2024-02
VOLKSWAGEN,GOLF,Y,Šiaulių,2024-06
BMW,IX XDRIVE40,Y,Klaipėdos,2024-06
TESLA,MODEL 3,Y,Kauno,2024-06
MINI,COOPER SE,Y,Vilniaus,2024-04
AUDI,AUDI E-TRON,Y,Vilniaus,2024-04
MG.ROEWE,MG ZS EV,Y,Kauno,2024-01
TESLA,MODEL Y,Y,Kauno,2024-02
NISSAN,ARIYA,Y,Vilniaus,2024-04
NISSAN,NISSAN E-NV200,Y,Klaipėdos,2024-01
TESLA,MODEL 3,Y,Vilniaus,2024-03
TESLA,MODEL 3,Y,Klaipėdos,2024-01
TESLA,MODEL 3,Y,Vilniaus,2024-06
JINPENG,XD,Y,Marijampolės,2024-04
TALARIA,STING,Y,Vilniaus,2024-06
TESLA,MODEL 3,Y,Šiaulių,2024-06
BMW,IX1 XDRIVE30,Y,Vilniaus,2024-05
TESLA,MODEL Y,Y,Vilniaus,2024-04
JINPENG,KING BOX II,Y,Klaipėdos,2024-03
MERCEDES-BENZ,EQS 580 4MATIC,Y,Marijampolės,2024-04
MERCEDES-BENZ,EQC 400 4MATIC,Y,Vilniaus,2024-05
HYUNDAI,KONA,Y,Tauragės,2024-06
TALARIA,STING,Y,Kauno,2024-05
VOLKSWAGEN. VW,ID.4 PRO S,Y,Panevėžio,2024-03
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-04
SEAT,MII,Y,Marijampolės,2024-04
DACIA,SPRING,Y,Vilniaus,2024-06
LIGIER,MYLI,Y,Šiaulių,2024-05
HYUNDAI,IONIQ,Y,Kauno,2024-05
XINRI,MS04,Y,Alytaus,2024-04
OPEL,MOKKA,Y,Panevėžio,2024-04
NISSAN,NISSAN LEAF 40KWH,Y,Kauno,2024-05
VOLVO,EX30,Y,Kauno,2024-05
DAYI MOTOR,E-GEN 4.0AL,Y,Alytaus,2024-02
TESLA,MODEL 3,Y,Šiaulių,2024-05
ECO ZONE,LIEYING,Y,Klaipėdos,2024-02
BMW,I4 EDRIVE40,Y,Vilniaus,2024-02
TESLA,MODEL Y,Y,Telšių,2024-04
SUBARU,SOLTERRA,Y,Vilniaus,2024-04
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Vilniaus,2024-03
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Vilniaus,2024-06
MORE RAN,CITYCOCO,Y,Utenos,2024-03
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Šiaulių,2024-03
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
XINRI,XZY,Y,Kauno,2024-03
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2024-06
CHUANYUE,CITYCOCO,Y,Kauno,2024-06
NISSAN,NISSAN ARIYA,Y,Vilniaus,2024-05
Hyundai Motor (CZ) Hyundai,Kona. Kauai,Y,Kauno,2024-05
MINI,COOPER SE,Y,Vilniaus,2024-06
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Tauragės,2024-02
MORE RAN,CITYCOCO,Y,Marijampolės,2024-06
NISSAN,NISSAN ARIYA,Y,Alytaus,2024-01
ECO ZONE,LIEYING,Y,Šiaulių,2024-03
FIAT,500,Y,Kauno,2024-06
KIA,EV6,Y,Alytaus,2024-01
MERCEDES-BENZ,EQC 400 4MATIC,Y,Kauno,2024-03
MERCEDES-BENZ,AMG EQE 53 4MATIC+,Y,Vilniaus,2024-02
TESLA,MODEL 3,Y,Vilniaus,2024-06
JEEP,AVENGER,Y,Kauno,2024-02
BMW i,i3,Y,Kauno,2024-02
JEEP,AVENGER,Y,Vilniaus,2024-06
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
HYUNDAI,IONIQ,Y,Vilniaus,2024-01
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
FORD,MUSTANG MACH-E,Y,Kauno,2024-02
FULU,E.T. PICK-UP,Y,Klaipėdos,2024-06
PORSCHE,TAYCAN GTS,Y,Vilniaus,2024-04
BMW i,i3,Y,Vilniaus,2024-04
BMW,IX XDRIVE40 I20 XE2,Y,Vilniaus,2024-05
SKODA,ENYAQ 80,Y,Telšių,2024-02
AUDI,Q4 50 E-TRON,Y,Vilniaus,2024-02
NIU,UQI GT PRO,Y,Kauno,2024-04
FORD,MUSTANG MACH-E,Y,Telšių,2024-03
HYUNDAI,KONA. KAUAI,Y,Kauno,2024-02
AUDI,E-TRON 50,Y,Vilniaus,2024-04
SKODA (CZ) SKODA,ENYAQ RS,Y,Klaipėdos,2024-03
DJJD,Q3,Y,Kauno,2024-06
NISSAN,NISSAN E-NV200,Y,Utenos,2024-05
SKODA,ENYAQ RS,Y,Klaipėdos,2024-03
HIGER,FENCER F1 INTEGRAL EV,Y,Kauno,2024-04
FORD,MUSTANG MACH-E,Y,Kauno,2024-05
NISSAN,NISSAN ARIYA,Y,Tauragės,2024-01
JINPENG,XD,Y,Vilniaus,2024-05
POLESTAR,2 BST EDITION 270,Y,Šiaulių,2024-02
HYUNDAI,IONIQ5,Y,Vilniaus,2024-03
AUDI,E-TRON 55,Y,Kauno,2024-04
MORE RAN,CITYCOCO,Y,Klaipėdos,2024-05
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2024-04
NISSAN,NISSAN LEAF 62KWH,Y,Kauno,2024-04
Hyundai,Kona,Y,Panevėžio,2024-06
KIA,NIRO,Y,Kauno,2024-02
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-04
TESLA,MODEL 3,Y,Vilniaus,2024-05
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID. BUZZ CARGO 150 KW,Y,Kauno,2024-04
SKODA,ENYAQ 80,Y,Kauno,2024-02
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
TESLA,MODEL 3,Y,Vilniaus,2024-01
PEUGEOT,ION,Y,Panevėžio,2024-03
TESLA,MODEL S,Y,Vilniaus,2024-04
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Vilniaus,2024-06
BMW,CE 02,Y,Vilniaus,2024-06
VOLVO,EX30,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Kauno,2024-04
NISSAN,Nissan e-NV200,Y,Vilniaus,2015-01
TESLA MOTORS,MODEL X,Y,Kauno,2016-12
NISSAN,NISSAN LEAF 40KWH,Y,Kauno,2018-03
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-05
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-03
TESLA,MODEL 3,Y,Vilniaus,2020-04
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2020-01
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-04
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-04
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-03
NISSAN,LEAF 24KWH,Y,Vilniaus,2020-11
NISSAN,NISSAN LEAF 30kwh,Y,Kauno,2020-09
TESLA,MODEL S,Y,Vilniaus,2020-07
TESLA,MODEL X,Y,Vilniaus,2020-12
RENAULT,ZOE,Y,Alytaus,2020-12
RENAULT,ZOE,Y,Kauno,2020-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-09
HYUNDAI,IONIQ,Y,Kauno,2020-09
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-10
FIAT,FIAT 500,Y,Vilniaus,2020-09
TESLA,MODEL 3,Y,Klaipėdos,2020-06
NISSAN,LEAF,Y,Vilniaus,2020-06
HYUNDAI,IONIQ,Y,Vilniaus,2020-05
HYUNDAI,IONIQ,Y,Klaipėdos,2021-01
SHANSU,EGREEN,Y,Klaipėdos,2020-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
KIA,NIRO,Y,Šiaulių,2021-01
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-05
PIAGGIO,VESPA ELETTRICA,Y,Vilniaus,2020-05
HONDA,HONDA E,Y,Vilniaus,2020-09
KIA,SOUL EV,Y,Kauno,2020-04
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2020-07
TESLA,MODEL 3,Y,Kauno,2020-04
HYUNDAI,IONIQ,Y,Klaipėdos,2020-10
TESLA MOTORS,MODEL S,Y,Vilniaus,2020-10
KIA,NIRO,Y,Klaipėdos,2021-01
VOLKSWAGEN,E-GOLF,Y,Kauno,2020-11
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-10
E-MIO,AGILE,Y,Alytaus,2020-10
SUNRA,HAWK,Y,Vilniaus,2020-10
PEUGEOT,2008,Y,Tauragės,2021-02
HYUNDAI,KONA. KAUAI,Y,Kauno,2020-12
KIA,SOUL,Y,Klaipėdos,2020-09
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-01
BMW,I3,Y,Vilniaus,2020-10
KIA,SOUL EV,Y,Vilniaus,2020-11
TESLA,MODEL 3,Y,Vilniaus,2020-12
SUNRA,HAWK,Y,Šiaulių,2020-07
YADEA,G5,Y,Kauno,2020-09
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-08
PORSCHE,TAYCAN TURBO,Y,Vilniaus,2021-01
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
NISSAN,LEAF,Y,Vilniaus,2020-11
MERCEDES-BENZ,EQC 400 4MATIC,Y,Panevėžio,2020-11
VOLKSWAGEN,E-GOLF,Y,Vilniaus,2020-08
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-01
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-01
KIA,NIRO,Y,Kauno,2021-01
MAZDA,MAZDA MX-30,Y,Vilniaus,2020-10
TESLA,MODEL S,Y,Vilniaus,2020-07
NISSAN,E-NV200,Y,Klaipėdos,2021-02
PORSCHE,TAYCAN 4S,Y,Klaipėdos,2020-07
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-12
TESLA,MODEL S,Y,Šiaulių,2020-08
PEUGEOT,2008,Y,Vilniaus,2020-11
TESLA,MODEL 3,Y,Vilniaus,2020-12
SUNRA,HAWK,Y,Utenos,2020-12
NISSAN,LEAF 30KWH,Y,Vilniaus,2020-12
TESLA,MODEL 3,Y,Vilniaus,2020-06
CHEVROLET,BOLT EV LT,Y,Kauno,2020-08
PEUGEOT,2008,Y,Kauno,2021-03
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2020-06
NISSAN,NISSAN LEAF 30kwh,Y,Šiaulių,2020-07
TESLA,MODEL 3,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
AUDI,E-TRON 50,Y,Vilniaus,2020-12
MAZDA,MAZDA MX-30,Y,Klaipėdos,2020-11
PEUGEOT,EXPERT,Y,Vilniaus,2021-03
JIAYUAN,EIDOLA,Y,Telšių,2020-12
HECHT MOTORS,HECHT COCIS,Y,Telšių,2021-01
SUNRA,HAWK,Y,Vilniaus,2020-11
NISSAN,NISSAN LEAF 30kwh,Y,Kauno,2020-12
BMW,I3 BEV,Y,Klaipėdos,2020-06
FIAT,500E,Y,Vilniaus,2020-07
TESLA,MODEL S,Y,Šiaulių,2021-01
KIA,NIRO,Y,Vilniaus,2021-01
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2020-11
NISSAN,NISSAN LEAF 40KWH,Y,Kauno,2020-12
NISSAN,NISSAN LEAF 30kwh,Y,Kauno,2020-11
PEUGEOT,208,Y,Vilniaus,2020-11
FIAT,500E,Y,Vilniaus,2021-01
NISSAN,NISSAN E-NV200,Y,Alytaus,2020-09
NISSAN,LEAF 40KWH,Y,Alytaus,2020-11
BMW,I3,Y,Vilniaus,2020-07
RENAULT,ZOE,Y,Vilniaus,2020-07
RENAULT,ZOE,Y,Vilniaus,2020-11
TESLA,MODEL 3,Y,Klaipėdos,2021-02
SUNRA,HAWK,Y,Panevėžio,2020-12
NISSAN,LEAF 24KWH,Y,Vilniaus,2020-11
SUNRA,HAWK,Y,Šiaulių,2020-11
TESLA,MODEL 3,Y,Vilniaus,2020-07
SUNRA,HAWK,Y,Tauragės,2020-07
HORWIN,CR6.HORWIN CR6,Y,Kauno,2020-05
SUNRA,HAWK,Y,Utenos,2020-11
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2020-12
BMW i,I3S,Y,Kauno,2021-02
RENAULT,ZOE,Y,Kauno,2020-09
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Panevėžio,2020-10
KREIDLER,MSG,Y,Klaipėdos,2020-09
VOLKSWAGEN,E-GOLF SEL PREMIUM,Y,Kauno,2020-09
NISSAN,LEAF,Y,Vilniaus,2021-01
CHEVROLET,BOLT,Y,Šiaulių,2020-06
TESLA,MODEL S,Y,Kauno,2020-08
RENAULT,ZOE,Y,Vilniaus,2020-09
TESLA,MODEL S,Y,Klaipėdos,2020-12
TESLA,MODEL 3,Y,Vilniaus,2021-01
TESLA,MODEL S,Y,Klaipėdos,2021-01
NISSAN,NISSAN LEAF 30KWH,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
CHEVROLET,BOLT,Y,Kauno,2020-06
XINRI,MS04,Y,Klaipėdos,2020-11
SHANSU,EGREEN,Y,Panevėžio,2020-09
TESLA,MODEL 3,Y,Vilniaus,2020-07
BMW,I3 REX,Y,Klaipėdos,2020-06
TESLA,MODEL 3,Y,Vilniaus,2021-03
BMW i,i3,Y,Vilniaus,2020-08
TESLA,MODEL S,Y,Vilniaus,2020-07
BMW i,I3S,Y,Kauno,2020-10
TESLA,MODEL 3,Y,Vilniaus,2020-10
MANGOSTEEN,M1,Y,Telšių,2020-07
ROSERO-P,FIRST,Y,Tauragės,2020-05
JAGUAR,JAGUAR I-PACE,Y,Klaipėdos,2020-11
NISSAN,NISSAN LEAF 24kWh,Y,Vilniaus,2020-09
SUNRA,HAWK,Y,Vilniaus,2020-12
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
AUDI,E-TRON 50,Y,Vilniaus,2020-09
NISSAN,LEAF,Y,Vilniaus,2020-10
SUNRA,HAWK,Y,Panevėžio,2020-11
VMOTO-SOCO.E-MAX.VMOTO.SUPER SOCO,CUX,Y,Kauno,2020-10
HONDA,HONDA E,Y,Vilniaus,2020-10
NISSAN,LEAF,Y,Vilniaus,2020-05
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-11
NISSAN,LEAF,Y,Šiaulių,2020-09
AUDI,AUDI E-TRON,Y,Vilniaus,2021-09
KIA,SOUL EV/AC-DC/AT/81KW/TKP,Y,Vilniaus,2021-10
DACIA,SPRING,Y,Vilniaus,2021-11
PEUGEOT,208,Y,Klaipėdos,2021-11
PEUGEOT,208,Y,Vilniaus,2021-05
TESLA,MODEL S 90D,Y,Kauno,2021-12
FIAT,500E,Y,Vilniaus,2021-09
RENAULT,ZOE,Y,Klaipėdos,2021-09
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2022-01
SUNRA,HAWK,Y,Kauno,2021-08
PEUGEOT,2008,Y,Vilniaus,2021-11
DACIA,SPRING,Y,Klaipėdos,2021-12
CITROEN,C-ZERO,Y,Kauno,2021-12
TESLA,MODEL 3,Y,Vilniaus,2020-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
SKODA,ENYAQ 80,Y,Vilniaus,2021-10
KIA,SOUL,Y,Kauno,2021-12
DFSK,SERES 3,Y,Kauno,2021-05
HYUNDAI,IONIQ,Y,Vilniaus,2021-11
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2021-10
HYUNDAI,KONA. KAUAI,Y,Kauno,2021-10
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-10
BMW i,I3 EDRIVE BEV I01 IB1,Y,Kauno,2021-04
PEUGEOT,2008,Y,Vilniaus,2021-10
KIA,NIRO,Y,Vilniaus,2021-10
BMW i,i3,Y,Klaipėdos,2021-10
TESLA,MODEL Y,Y,Vilniaus,2021-09
PEUGEOT,2008,Y,Vilniaus,2021-11
TESLA,MODEL 3,Y,Kauno,2021-05
KIA,NIRO,Y,Kauno,2021-08
RENAULT,ZOE,Y,Klaipėdos,2021-09
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
FIAT,500,Y,Kauno,2021-09
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2021-12
RENAULT,ZOE,Y,Vilniaus,2021-07
SKODA,ENYAQ 60,Y,Vilniaus,2021-05
PEUGEOT,2008,Y,Vilniaus,2021-07
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2021-10
NISSAN,LEAF,Y,Klaipėdos,2021-04
VOLKSWAGEN,ID.3. ELEKTRO MOTOR 204 1-TRINS-AUTOMATISK,Y,Kauno,2021-10
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-10
PEUGEOT,208,Y,Klaipėdos,2021-09
NISSAN,LEAF 40KWH,Y,Tauragės,2021-09
FIAT,500,Y,Vilniaus,2021-09
BMW i,i3,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-09
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-11
NISSAN,NISSAN LEAF,Y,Vilniaus,2021-03
SUNRA,HAWK,Y,Šiaulių,2021-08
SKODA,ENYAQ 60,Y,Vilniaus,2021-10
HYUNDAI,IONIQ,Y,Vilniaus,2021-09
SKODA,CITIGO,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-10
AUDI,Q4 40 E-TRON,Y,Vilniaus,2021-09
XINRI,XZY,Y,Panevėžio,2021-11
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2021-04
LUQI,HL4.0T,Y,Vilniaus,2021-07
MAZDA,MAZDA MX-30,Y,Klaipėdos,2021-08
XINRI,XZY,Y,Šiaulių,2021-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
TESLA,MODEL S,Y,Kauno,2021-11
NISSAN,LEAF,Y,Telšių,2021-04
SUNRA,HAWK,Y,Marijampolės,2021-06
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-12
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-12
KIA,SOUL,Y,Kauno,2021-10
FORD,MUSTANG MACH-E,Y,Utenos,2021-10
NISSAN,LEAF 30KWH,Y,Utenos,2021-10
KIA,SOUL,Y,Vilniaus,2021-05
SUNRA,HAWK,Y,Utenos,2021-06
MAZDA,MAZDA MX-30,Y,Vilniaus,2021-11
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-08
MAZDA,MAZDA MX-30,Y,Vilniaus,2021-06
SHANSU,EGREEN,Y,Kauno,2021-09
VOLKSWAGEN. VW,ID.3 PURE 110 KW,Y,Vilniaus,2021-09
VOLKSWAGEN. VW,CRAFTER,Y,Kauno,2021-09
NISSAN,LEAF,Y,Klaipėdos,2021-06
DAYI MOTOR,E-THOR 6.0B,Y,Alytaus,2021-11
VOLKSWAGEN. VW,CRAFTER,Y,Kauno,2021-09
MAZDA,MAZDA MX-30,Y,Klaipėdos,2021-10
KIA,NIRO,Y,Vilniaus,2021-11
DACIA,SPRING,Y,Klaipėdos,2021-11
SUNRA,HAWK,Y,Panevėžio,2021-07
NISSAN,NISSAN LEAF 62KWH,Y,Kauno,2021-09
SUNRA,HAWK,Y,Šiaulių,2021-05
NISSAN,LEAF 30KWH,Y,Marijampolės,2021-06
PEUGEOT,208,Y,Vilniaus,2021-06
NISSAN,LEAF 40KWH,Y,Telšių,2021-11
NISSAN,LEAF 40KWH,Y,Klaipėdos,2021-12
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-11
TESLA,MODEL 3,Y,Kauno,2021-07
PEUGEOT,2008,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,ID.3 PRO S 150 KW,Y,Kauno,2021-12
MAZDA,MAZDA MX-30,Y,Klaipėdos,2021-09
BMW i,i3,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-06
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2021-12
TESLA,MODEL 3,Y,Kauno,2021-12
VOLKSWAGEN. VW,GOLF,Y,Klaipėdos,2021-12
TESLA,MODEL 3,Y,Utenos,2021-12
AUDI,Q4 40 E-TRON,Y,Vilniaus,2021-10
NISSAN,E-NV200,Y,Kauno,2021-04
SUNRA,HAWK,Y,Panevėžio,2021-06
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-05
BMW i,i3,Y,Kauno,2021-11
MERCEDES-BENZ,EQA 250,Y,Panevėžio,2021-11
NISSAN,NISSAN LEAF,Y,Klaipėdos,2021-12
YIDE,ELECTRICAL SCOOTER,Y,Panevėžio,2021-10
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2021-12
TESLA,MODEL 3,Y,Šiaulių,2021-12
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2021-07
HYUNDAI,KONA. KAUAI,Y,Kauno,2021-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
LUQI,HL6.0S,Y,Marijampolės,2021-06
HYUNDAI,IONIQ,Y,Vilniaus,2021-09
TESLA,MODEL 3,Y,Alytaus,2021-10
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2021-11
PORSCHE,TAYCAN,Y,Kauno,2021-12
MANGOSTEEN,M1,Y,Utenos,2021-06
RENAULT,ZOE,Y,Vilniaus,2021-12
BMW i,I3S,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-04
OPEL,MOKKA,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-04
MAZDA,MAZDA MX-30,Y,Klaipėdos,2021-11
TESLA,MODEL X,Y,Klaipėdos,2021-05
HYUNDAI,IONIQ,Y,Kauno,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-05
PEUGEOT,2008,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-04
VOLKSWAGEN. VW,ID.3 PURE 110 KW,Y,Vilniaus,2021-08
NISSAN,NISSAN LEAF 40KWH,Y,Kauno,2021-10
NISSAN,LEAF,Y,Kauno,2021-10
TESLA,MODEL 3,Y,Kauno,2021-07
DACIA,SPRING,Y,Vilniaus,2021-11
MAZDA,MAZDA MX-30,Y,Šiaulių,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-05
HYUNDAI,IONIQ,Y,Telšių,2021-10
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
SUNRA,HAWK,Y,Klaipėdos,2021-06
HYUNDAI,KONA. KAUAI,Y,Šiaulių,2021-10
KIA,SOUL,Y,Telšių,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
LUQI,HL6.0S,Y,Kauno,2021-05
MINI,COOPER SE,Y,Klaipėdos,2022-01
TESLA,MODEL S,Y,Kauno,2021-12
TESLA,MODEL 3,Y,Vilniaus,2021-12
SUNRA,HAWK,Y,Šiaulių,2021-08
AUDI,E-TRON GT,Y,Utenos,2022-01
KIA,SOUL,Y,Vilniaus,2021-05
FIAT,500,Y,Vilniaus,2021-07
DACIA,SPRING,Y,Klaipėdos,2021-11
BMW,I3 BEV,Y,Kauno,2021-09
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-04
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-11
BMW i,SERIE I,Y,Vilniaus,2021-05
VOLVO,XC40,Y,Panevėžio,2021-12
TESLA,MODEL X,Y,Kauno,2021-11
PORSCHE,TAYCAN 4S,Y,Panevėžio,2022-01
LUQI,HL6.0S,Y,Panevėžio,2021-06
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2021-04
HYUNDAI,IONIQ,Y,Vilniaus,2021-07
RENAULT,ZOE,Y,Vilniaus,2021-09
PIAGGIO,VESPA ELETTRICA,Y,Alytaus,2021-06
TESLA,MODEL 3,Y,Kauno,2021-06
VOLKSWAGEN. VW,GOLF,Y,Alytaus,2021-12
RENAULT,ZOE,Y,Klaipėdos,2021-12
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-07
HYUNDAI,KONA,Y,Kauno,2021-07
BMW i,i3,Y,Kauno,2021-07
PEUGEOT,208,Y,Vilniaus,2021-12
KIA,NIRO,Y,Vilniaus,2021-09
SKODA,ENYAQ 60,Y,Vilniaus,2021-09
TESLA,MODEL Y,Y,Kauno,2021-09
VOLKSWAGEN. VW,CRAFTER,Y,Kauno,2021-09
CHEVROLET,BOLT EV,Y,Vilniaus,2021-10
CITROEN,E-C4,Y,Vilniaus,2021-12
PORSCHE,TAYCAN TURBO,Y,Kauno,2022-01
NISSAN,LEAF 30KWH,Y,Klaipėdos,2021-08
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-11
NISSAN,LEAF 24KWH,Y,Klaipėdos,2021-07
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-07
YIDE,ELECTRICAL SCOOTER,Y,Panevėžio,2021-10
PEUGEOT,208,Y,Vilniaus,2021-11
XINRI,XZY,Y,Kauno,2021-10
KIA,SOUL,Y,Vilniaus,2021-08
TESLA,MODEL 3,Y,Kauno,2021-12
SKODA,CITIGO,Y,Vilniaus,2021-10
